3 ,8 ,49,5 ,38,36,28,39,20,18,35,7 ,31,26,44
49,36,44,8 ,28,5 ,39,26,3 ,18,38,20,7 ,35,31
41,30,32,34,43,19,13,49,11,8 ,28,10,22,24,29
19,34,24,13,49,22,8 ,41,29,11,32,28,30,10,43
46,29,6 ,40,13,10,49,33,35,14,37,26,15,24,8 
29,49,46,6 ,15,24,40,13,37,26,8 ,33,14,10,35
17,32,43,5 ,25,27,13,34,28,14,10,49,24,2 ,21
34,17,28,32,27,14,2 ,49,10,5 ,43,25,21,13,24
28,10,21,40,13,3 ,19,30,27,1 ,43,5 ,8 ,36,31
10,13,19,30,43,31,21,3 ,1 ,40,5 ,28,36,8 ,27
17,40,14,32,30,25,29,16,21,6 ,13,37,12,34,3 
3 ,32,30,40,17,37,6 ,13,16,34,25,14,21,12,29
45,13,7 ,27,30,8 ,26,4 ,20,17,32,14,38,24,40
7 ,26,38,24,8 ,20,45,14,32,27,4 ,13,17,30,40
39,32,27,21,26,23,14,36,12,42,5 ,3 ,9 ,33,46
26,9 ,21,3 ,23,39,42,5 ,32,14,33,27,36,46,12
18,33,5 ,46,39,22,45,1 ,34,13,44,20,35,38,31
46,13,33,45,31,39,20,1 ,38,18,22,35,44,5 ,34
21,23,29,13,30,48,16,35,14,34,24,47,42,7 ,28
23,30,48,21,16,47,29,13,42,28,7 ,35,34,14,24
30,20,36,6 ,1 ,12,29,44,46,41,48,26,21,13,23
21,44,26,13,36,29,6 ,48,46,12,41,1 ,23,20,30
11,35,29,9 ,25,30,37,40,31,16,15,33,1 ,28,49
25,30,16,1 ,29,9 ,40,15,35,33,28,31,11,49,37
37,35,22,11,8 ,42,14,17,38,3 ,27,15,40,21,24
27,11,15,21,38,40,42,37,35,3 ,17,24,8 ,14,22
