MARKIT Ticker,Currency,Sen/Sub,Doc Clause,RED Code,IsDefaulted,Defaulted Recovery Rate,Phoenix Reference Entity ID,Name,Country,Moodys,S&P,Moodys Industries,S&P Industries,CreditIndex,Series,Version (hardcoded),Credit Index Mapping,Recovery,Quote Date,Yr 1,Yr 2,Yr 3,Yr 4,Yr 5,Yr 6,Yr 7,Yr 8,Yr 9,Yr 10
NULL,USD,Senior,NULL,008HA7,False,,10025,AGRIUM INC.,CA,Baa2,BBB,Farming and Agriculture,Farming / Agriculture,,,,s9.DJ CDX.NA.IG,0.392500000,22/10/2010,57.200000000000000,75.300000000000000,93.200000000000000,113.376516559274000,133.200000000000000,138.713785465258000,143.900000000000000,148.992881165148000,153.759263207831000,158.200000000000000,
AKZO,EUR,Senior,NULL,0B11AI,False,,10035,AKZO Nobel N.V.,NL,A3,A-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.iTraxx Europe,0.400000000,22/10/2010,29.900000000000000,39.900000000000000,50.400000000000000,60.900000000000000,70.400000000000000,73.926505921451800,76.700000000000000,79.070690950327400,80.794046911522000,81.900000000000000,
NULL,USD,Senior,Excluded,6A59CJ,False,,10040,New Albertson's_ Inc.,US,B1,BBB-   *-,Grocery,Food / Drug retailers,,,,s9.DJ CDX.NA.IG,0.395238095,22/10/2010,386.300000000000000,463.600000000000000,507.600000000000000,563.910643244483000,621.700000000000000,629.986589325034000,636.200000000000000,643.162824127284000,648.342518064518000,651.800000000000000,
NULL,USD,Senior,NULL,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,22/10/2010,12.500000000000000,18.500000000000000,20.800000000000000,27.969468494305800,36.000000000000000,38.904814599014500,41.600000000000000,43.206754430836400,44.502405045908100,45.500000000000000,
NULL,USD,Senior,Excluded,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,22/10/2010,12.500000000000000,18.500000000000000,20.800000000000000,27.969468494305800,36.000000000000000,38.904814599014500,41.600000000000000,43.206754430836400,44.502405045908100,45.500000000000000,
AA,USD,Senior,NULL,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,22/10/2010,107.900000000000000,167.700000000000000,215.400000000000000,255.300000000000000,294.100000000000000,302.570632429622000,310.800000000000000,317.371082432609000,323.638619800098000,329.600000000000000,
AA,USD,Senior,Excluded,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,22/10/2010,107.900000000000000,167.700000000000000,215.400000000000000,255.300000000000000,294.100000000000000,302.570632429622000,310.800000000000000,317.371082432609000,323.638619800098000,329.600000000000000,
ALTEL,USD,Senior,NULL,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,22/10/2010,6.500000000000000,10.200000000000000,14.500000000000000,19.000000000000000,22.000000000000000,25.385791297349000,28.900000000000000,31.113360433994900,33.247302696658700,35.300000000000000,
ALTEL,USD,Senior,Excluded,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,22/10/2010,6.500000000000000,10.200000000000000,14.500000000000000,19.000000000000000,22.000000000000000,25.385791297349000,28.900000000000000,31.113360433994900,33.247302696658700,35.300000000000000,
HESS,USD,Senior,NULL,46A89Q,False,,10061,Hess Corporation,US,Baa2,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.400000000,22/10/2010,41.100000000000000,53.200000000000000,65.000000000000000,75.600000000000000,87.100000000000000,91.167579886933300,94.300000000000000,98.058421233193500,101.149096649506000,103.600000000000000,
