MARKIT Ticker,Currency,Sen/Sub,Doc Clause,RED Code,IsDefaulted,Defaulted Recovery Rate,Phoenix Reference Entity ID,Name,Country,Moodys,S&P,Moodys Industries,S&P Industries,CreditIndex,Series,Version (hardcoded),Credit Index Mapping,Recovery,Quote Date,Yr 1,Yr 2,Yr 3,Yr 4,Yr 5,Yr 6,Yr 7,Yr 8,Yr 9,Yr 10
NULL,USD,Senior,NULL,008HA7,False,,10025,AGRIUM INC.,CA,Baa2,BBB,Farming and Agriculture,Farming / Agriculture,,,,s9.DJ CDX.NA.IG,0.392500000,21/10/2010,57.800000000000000,74.900000000000000,91.900000000000000,112.490338132539000,132.700000000000000,138.273351074862000,143.500000000000000,148.411493125601000,152.977878706099000,157.200000000000000,
AKZO,EUR,Senior,NULL,0B11AI,False,,10035,AKZO Nobel N.V.,NL,A3,A-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.iTraxx Europe,0.400000000,21/10/2010,32.000000000000000,42.500000000000000,51.500000000000000,62.000000000000000,71.200000000000000,74.553477663332000,77.100000000000000,79.302098703465000,80.824481273062900,81.700000000000000,
NULL,USD,Senior,Excluded,6A59CJ,False,,10040,New Albertson's_ Inc.,US,B1,BBB-   *-,Grocery,Food / Drug retailers,,,,s9.DJ CDX.NA.IG,0.395238095,21/10/2010,386.300000000000000,463.600000000000000,507.600000000000000,563.911236115436000,621.700000000000000,630.026945373494000,636.200000000000000,643.220473818552000,648.399005528455000,651.800000000000000,
NULL,USD,Senior,NULL,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,21/10/2010,12.800000000000000,18.800000000000000,21.200000000000000,28.467134396247700,36.600000000000000,39.466429438976400,42.100000000000000,43.715324386434400,45.010756877856300,46.000000000000000,
NULL,USD,Senior,Excluded,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,21/10/2010,12.800000000000000,18.800000000000000,21.200000000000000,28.467134396247700,36.600000000000000,39.466429438976400,42.100000000000000,43.715324386434400,45.010756877856300,46.000000000000000,
AA,USD,Senior,NULL,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,21/10/2010,112.800000000000000,167.700000000000000,210.900000000000000,249.400000000000000,290.700000000000000,299.523965734762000,308.100000000000000,314.337962022988000,320.238369817853000,325.800000000000000,
AA,USD,Senior,Excluded,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,21/10/2010,112.800000000000000,167.700000000000000,210.900000000000000,249.400000000000000,290.700000000000000,299.523965734762000,308.100000000000000,314.337962022988000,320.238369817853000,325.800000000000000,
ALTEL,USD,Senior,NULL,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,21/10/2010,6.500000000000000,10.400000000000000,14.600000000000000,18.900000000000000,22.300000000000000,25.643759936504100,29.100000000000000,31.348008647543100,33.515387956405400,35.600000000000000,
ALTEL,USD,Senior,Excluded,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,21/10/2010,6.500000000000000,10.400000000000000,14.600000000000000,18.900000000000000,22.300000000000000,25.643759936504100,29.100000000000000,31.348008647543100,33.515387956405400,35.600000000000000,
HESS,USD,Senior,NULL,46A89Q,False,,10061,Hess Corporation,US,Baa2,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.400000000,21/10/2010,38.400000000000000,51.700000000000000,64.400000000000000,77.000000000000000,87.700000000000000,91.958678937305800,95.300000000000000,98.260671982140900,100.448122676769000,101.900000000000000,
AEP,USD,Senior,NULL,027A8A,False,,10066,AMERICAN ELECTRIC POWER COMPANY_ INC.,US,Baa2,BBB,Utilities,Utilities,,,,s9.DJ CDX.NA.IG,0.392860000,21/10/2010,19.600000000000000,28.600000000000000,39.500000000000000,49.900000000000000,61.200000000000000,65.299877264010900,68.900000000000000,72.916908662355800,76.580797052895800,79.900000000000000,
AEP,USD,Senior,Excluded,027A8A,False,,10066,AMERICAN ELECTRIC POWER COMPANY_ INC.,US,Baa2,BBB,Utilities,Utilities,,,,s9.DJ CDX.NA.IG,0.392860000,21/10/2010,19.600000000000000,28.600000000000000,39.500000000000000,49.900000000000000,61.200000000000000,65.299877264010900,68.900000000000000,72.916908662355800,76.580797052895800,79.900000000000000,
NULL,USD,Senior,NULL,9HB326,False,,10067,Wyeth LLC,US,A3,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.395200000,21/10/2010,7.500000000000000,10.400000000000000,14.800000000000000,17.815134353684300,21.000000000000000,22.711484068258700,24.300000000000000,25.187429311837800,25.884639289765600,26.400000000000000,
NULL,USD,Senior,Excluded,9HB326,False,,10067,Wyeth LLC,US,A3,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.395200000,21/10/2010,7.500000000000000,10.400000000000000,14.800000000000000,17.815134353684300,21.000000000000000,22.711484068258700,24.300000000000000,25.187429311837800,25.884639289765600,26.400000000000000,
AMGN,USD,Senior,NULL,0D4278,False,,10080,Amgen Inc.,US,A3,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.392860000,21/10/2010,24.600000000000000,31.600000000000000,37.700000000000000,45.400000000000000,53.800000000000000,57.140643676639500,60.000000000000000,63.296053849210900,66.259610328138300,68.900000000000000,
AMGN,USD,Senior,Excluded,0D4278,False,,10080,Amgen Inc.,US,A3,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.392860000,21/10/2010,24.600000000000000,31.600000000000000,37.700000000000000,45.400000000000000,53.800000000000000,57.140643676639500,60.000000000000000,63.296053849210900,66.259610328138300,68.900000000000000,
NULL,USD,Senior,NULL,0A3576,False,,10087,Anadarko Petroleum Corporation,US,Baa3,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.394347826,21/10/2010,84.500000000000000,115.700000000000000,145.600000000000000,175.122396125669000,205.700000000000000,213.799466435790000,221.800000000000000,227.018507876097000,232.019613728939000,236.800000000000000,
NULL,USD,Senior,Excluded,0A3576,False,,10087,Anadarko Petroleum Corporation,US,Baa3,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.394347826,21/10/2010,84.500000000000000,115.700000000000000,145.600000000000000,175.122396125669000,205.700000000000000,213.799466435790000,221.800000000000000,227.018507876097000,232.019613728939000,236.800000000000000,
T,USD,Senior,NULL,001AEC,False,,10118,AT&T Corp.,US,A2,A,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,21/10/2010,14.800000000000000,21.500000000000000,29.700000000000000,36.400000000000000,42.400000000000000,46.058019509464800,49.500000000000000,52.206603959579400,54.637328156501400,56.800000000000000,
BAPLC,EUR,Senior,NULL,05A75U,False,,10136,BAE SYSTEMS PLC,GB,Baa2,BBB+,Aerospace and Defence,Aerospace & Defence,,,,s9.iTraxx Europe,0.371430000,21/10/2010,26.300000000000000,44.000000000000000,62.500000000000000,81.600000000000000,99.300000000000000,103.329375082651000,106.200000000000000,109.422995338692000,111.775393241877000,113.300000000000000,
BACORP,USD,Senior,NULL,0G655D,False,,10142,Bank of America Corporation,US,Aa2,AA,Banking,Financial Intermediaries,,,,s9.DJ CDX.NA.IG,0.410000000,21/10/2010,122.900000000000000,150.700000000000000,171.100000000000000,192.000000000000000,206.700000000000000,207.716456694919000,208.400000000000000,209.206046647060000,209.643659552048000,209.700000000000000,
BACORP,USD,Senior,Excluded,0G655D,False,,10142,Bank of America Corporation,US,Aa2,AA,Banking,Financial Intermediaries,,,,s9.DJ CDX.NA.IG,0.410000000,21/10/2010,122.900000000000000,150.700000000000000,171.100000000000000,192.000000000000000,206.700000000000000,207.716456694919000,208.400000000000000,209.206046647060000,209.643659552048000,209.700000000000000,
NULL,USD,Senior,NULL,06DG91,False,,10145,BARRICK GOLD CORPORATION,CA,Baa1,A-,Diversified Natural resources_ Precious Metals and Minerals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.395000000,21/10/2010,28.483364833626200,33.700000000000000,42.900000000000000,55.180171716036000,68.700000000000000,73.004233400928200,76.700000000000000,81.158184840137700,85.221712646404300,88.900000000000000,
BOL,USD,Senior,NULL,0H8877,False,,10149,Bausch & Lomb Incorporated,US,Caa1,B+,Healthcare_ Education and Childcare,Health Care,,,,s9.DJ CDX.NA.IG,0.391670000,21/10/2010,108.200000000000000,161.100000000000000,204.500000000000000,264.300000000000000,311.000000000000000,322.098438154240000,333.000000000000000,338.700744064683000,344.000022615991000,348.900000000000000,
BAX,USD,Senior,NULL,0H8994,False,,10150,Baxter International Inc.,US,A3,A+,Healthcare_ Education and Childcare,Industrial Equipment,,,,s9.DJ CDX.NA.IG,0.400000000,21/10/2010,12.300000000000000,18.400000000000000,23.000000000000000,27.700000000000000,33.800000000000000,36.178881703233600,38.300000000000000,40.409582501825500,42.307616322818600,44.000000000000000,
BAX,USD,Senior,Excluded,0H8994,False,,10150,Baxter International Inc.,US,A3,A+,Healthcare_ Education and Childcare,Industrial Equipment,,,,s9.DJ CDX.NA.IG,0.400000000,21/10/2010,12.300000000000000,18.400000000000000,23.000000000000000,27.700000000000000,33.800000000000000,36.178881703233600,38.300000000000000,40.409582501825500,42.307616322818600,44.000000000000000,
BYIF,EUR,Senior,NULL,0H99A3,False,,10151,Bayer Aktiengesellschaft,DE,A3,A-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.iTraxx Europe,0.400000000,21/10/2010,27.600000000000000,37.400000000000000,46.200000000000000,54.800000000000000,62.700000000000000,65.840399031490600,68.300000000000000,70.882789643436000,72.941917048293600,74.500000000000000,
BMW,EUR,Senior,NULL,0H99B7,False,,10152,Bayerische Motoren Werke Aktiengesellschaft,DE,A1,A+,Automobile,Automotive,,,,s9.iTraxx Europe,0.394000000,21/10/2010,33.300000000000000,48.900000000000000,61.200000000000000,73.400000000000000,84.600000000000000,88.833009031065100,92.200000000000000,95.907023088969800,98.964686300647900,101.400000000000000,
JPM-BSCL,USD,Senior,NULL,07ABF3,False,,10156,The Bear Stearns Companies LLC,US,N.A.,N.A.,Finance,Brokers_ Dealers & Investment Houses,,,,s9.DJ CDX.NA.IG,0.400000000,21/10/2010,56.600000000000000,68.400000000000000,78.600000000000000,91.500000000000000,102.300000000000000,103.611905459776000,103.300000000000000,104.367439693370000,104.345862067694000,103.300000000000000,
VRZN,USD,Senior,NULL,9B579L,False,,10164,Verizon Communications Inc.,US,A3     *-,A,Telecommunications,Telecommunications - Wireline  ,,,,s9.DJ CDX.NA.IG,0.404860000,21/10/2010,17.900000000000000,32.000000000000000,45.600000000000000,59.800000000000000,71.700000000000000,79.133336710401800,86.400000000000000,91.557950601006700,96.288213085940600,100.600000000000000,
VRZN,USD,Senior,Excluded,9B579L,False,,10164,Verizon Communications Inc.,US,A3     *-,A,Telecommunications,Telecommunications - Wireline  ,,,,s9.DJ CDX.NA.IG,0.404860000,21/10/2010,17.900000000000000,32.000000000000000,45.600000000000000,59.800000000000000,71.700000000000000,79.133336710401800,86.400000000000000,91.557950601006700,96.288213085940600,100.600000000000000,
BILLO,USD,Senior,NULL,0I85AL,False,,10170,Belo Corp.,US,Ba1,BB,Printing and Publishing,Leisure goods / Activities / Movies,,,,s9.DJ CDX.NA.IG,0.397470000,21/10/2010,111.400000000000000,180.300000000000000,239.100000000000000,290.400000000000000,334.200000000000000,340.815265816835000,347.000000000000000,351.113161800144000,354.743704057952000,357.900000000000000,
BDK,USD,Senior,NULL,09A8GG,False,,10183,The Black & Decker Corporation,US,Baa2,BBB,Home and Office Furnishing_ Housewares_ and Durable Consumer Products,Industrial Equipment,,,,s9.DJ CDX.NA.IG,0.388330000,21/10/2010,14.100000000000000,19.800000000000000,25.900000000000000,31.600000000000000,36.800000000000000,39.112424238014700,41.100000000000000,43.567033777174500,45.832285574154800,47.900000000000000,
BWA,USD,Senior,NULL,09IG96,False,,10195,BorgWarner Inc.,US,Baa1,A-,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.391430000,21/10/2010,51.300000000000000,67.000000000000000,82.800000000000000,101.900000000000000,120.800000000000000,126.198738531263000,131.400000000000000,135.555275000077000,139.454956967816000,143.100000000000000,
BSX,USD,Senior,NULL,1B124A,False,,10196,Boston Scientific Corporation,US,Ba2,BB+,Healthcare_ Education and Childcare,Health Care,,,,s9.DJ CDX.NA.IG,0.400000000,21/10/2010,79.800000000000000,105.200000000000000,119.800000000000000,131.800000000000000,154.600000000000000,159.123620701612000,163.300000000000000,167.445292883493000,171.244879848069000,174.700000000000000,
BOUY,EUR,Senior,NULL,FG25BN,False,,10197,BOUYGUES,FR,N.A.,A-,Buildings and Real Estate,Conglomerates,,,,s9.iTraxx Europe,0.400000000,21/10/2010,31.800000000000000,49.400000000000000,63.600000000000000,74.900000000000000,85.200000000000000,89.205578123097600,92.300000000000000,95.409299019979300,97.798045205348400,99.500000000000000,
NULL,USD,Senior,NULL,1C1134,False,,10204,Bristol-Myers Squibb Company,US,A2,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.395833333,21/10/2010,14.600000000000000,17.100000000000000,24.000000000000000,29.633780326766700,35.700000000000000,37.956517018602700,39.900000000000000,41.521270302465500,42.850583838985900,43.900000000000000,
NULL,USD,Senior,Excluded,1C1134,False,,10204,Bristol-Myers Squibb Company,US,A2,A+,Healthcare_ Education and Childcare,Drugs,,,,s9.DJ CDX.NA.IG,0.395833333,21/10/2010,14.600000000000000,17.100000000000000,24.000000000000000,29.633780326766700,35.700000000000000,37.956517018602700,39.900000000000000,41.521270302465500,42.850583838985900,43.900000000000000,
BATSLN,EUR,Senior,NULL,1C148C,False,,10206,BRITISH AMERICAN TOBACCO p.l.c.,GB,Baa1,BBB+,Beverage_ Food and Tobacco,Beverage & Tobacco,,,,s9.iTraxx Europe,0.400000000,21/10/2010,21.800000000000000,31.400000000000000,41.100000000000000,50.700000000000000,58.300000000000000,61.494645003815700,64.100000000000000,66.756329326650400,68.950048386256000,70.700000000000000,
BSY,EUR,Senior,NULL,1C2114,False,,10210,BRITISH SKY BROADCASTING GROUP PLC,GB,Baa2,BBB,Broadcasting and Entertainment,Cable & Satellite Television,,,,s9.iTraxx Europe,0.380000000,21/10/2010,29.200000000000000,45.600000000000000,59.400000000000000,72.800000000000000,84.600000000000000,88.647089609531300,91.800000000000000,95.323262508464900,98.180340431989300,100.400000000000000,
BRITEL-BritTel,EUR,Senior,NULL,GH6DA2,False,,10211,BRITISH TELECOMMUNICATIONS public limited company,GB,Baa1,BBB+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.iTraxx Europe,0.396250000,21/10/2010,38.800000000000000,69.600000000000000,92.600000000000000,108.900000000000000,124.600000000000000,129.187255419499000,133.500000000000000,137.284868865924000,140.783757340147000,144.000000000000000,
