ProductDescription,TradeId,Strategy,SubStrategy,LTDPLChange,EstimatedPL,PercentResidualPL,ResidualPL,Total_CSDeltaEffect,Total_CSGammaEffect,Total_IREffect,CorrEffect,RecoveryEffect,DefaultEffect,ThetaEffect,CashflowEffect,NewBusinessEffect,TerminatedEffect,UnexplainedPL
Athilon 4,CDO0000646,POC_20090820,,154349.07252604,132485.581513014,14.1649642950316,21863.4910130259,238973.359737032,-2535.59542332529,,-19913.3077954523,0,,-84038.8750052406,0,,,
Athilon 5,CDO0000647,POC_20090820,,70685.8843297688,60429.7432969602,14.5094613020062,10256.1410328086,123286.733583533,-848.055104074442,,-25265.6165088501,0,,-36743.3186736479,0,,,
Athilon 6,CDO0000649,POC_20090820,,201832.456014168,180078.537059944,10.7782065302207,21753.9189542238,276728.515484852,-5117.47916274234,,3161.65322311327,0,,-94694.1524852794,0,,,
Athilon 7,CDO0000651,POC_20090820,,723070.872626491,668010.783384222,7.61475691065631,55060.0892422686,914738.284799687,-6323.43121169702,,-28543.0914296228,0,,-211860.978774145,0,,,
Athilon 7 offset,CDO0000652,POC_20090820,,-723290.119380768,-668204.637156521,7.61595945364335,-55085.4822242479,-915202.834178588,6332.77756852959,,28569.7196249652,0,,212095.699828573,0,,,
CDX6 7-10 7y ECD3450,CDO0000653,POC_20090820,,55067.4091193639,57633.9134595782,-4.6606593287351,-2566.50434021436,52162.9593676571,3420.14490885475,,8630.79935494316,0,,-6579.99017187674,0,,,
CDX6 7-10 7y ECD3449,CDO0000654,POC_20090820,,-10290.6547130994,-8442.31392813854,17.961352668922,-1848.34078496082,-14764.3468336011,-350.778522412156,,-597.533730545742,0,,7270.3451584205,0,,,
CDX6 7-10 7y ECD3453,CDO0000655,POC_20090820,,-55109.8121200455,-57674.0145677883,-4.65289637017295,2564.20244774273,-52210.2230565283,-3420.78776381147,,-8638.54697969574,0,,6595.54323224723,0,,,
CDX6 7-10 7y ECD8112,CDO0000656,POC_20090820,,10289.9280985238,8441.90814993277,17.9595030295315,1848.01994859099,14762.0776620372,350.783042046866,,597.486117147702,0,,-7268.43867129902,0,,,
GNT LSS 1 - CDX7 30-60,CDO0000657,POC_20090820,,-912091.408891731,-881933.644600134,3.21434987504106,-30157.7642915971,467440.232666764,-116875.697836703,,-986187.486929077,0,,-246310.692501119,0,,,
GNT LSS 1 - GS,CDO0000658,POC_20090820,,913930.474267265,883816.21812194,3.20325380656131,30114.2561453253,-467583.886533733,116934.927658159,,986662.653994888,0,,247802.523002626,0,,,
Nereus 2 BNP,CDO0000659,POC_20090820,,-141011.828009538,-115947.247443489,17.7748072057853,-25064.580566049,-343432.718518211,4626.01968941178,,116320.734073723,0,,106538.717311587,0,,,
Nereus 2 Mav1,CDO0000660,POC_20090820,,86198.423768064,70701.9519761914,17.9776742015252,15496.4717918726,211761.648100606,-2887.79444721291,,-72377.3322907394,0,,-65794.5693864618,0,,,
Nereus Dresdner,CDO0000661,POC_20090820,,-25233.8160642937,-20744.6620191602,17.7902305132745,-4489.15404513354,-61524.8722188095,829.072635222649,,20838.6291709015,0,,19112.5083935251,0,,,
Nereus Mav1,CDO0000662,POC_20090820,,78604.3105160641,64465.042087237,17.9879046530629,14139.2684288271,193244.535456992,-2635.96340926383,,-66048.7517752922,0,,-60094.778185199,0,,,
CDX7 0-3 10y Zero ECD4272,CDO0000671,POC_20090820,,630.265238582942,-1710.66354858975,371.419625241576,2340.92878717269,1328.81188499846,215.17293716041,,-157.531359614837,0,,-3097.11701113379,0,,,
CDX7 0-3 10y Zero ECD4273,CDO0000672,POC_20090820,,840.35365219813,-2280.88473195725,371.419625057985,3121.23838415538,1771.7491815907,286.897251344526,,-210.041813008276,0,,-4129.4893518842,0,,,
CDX7 0-3 10y Zero ECD4280,CDO0000673,POC_20090820,,339.373587047565,-921.126518151672,371.419625246962,1260.50010519924,715.514085683363,115.862349751289,,-84.824577514645,0,,-1667.67837607168,0,,,
CDX7 0-3 10y Zero ECD8268,CDO0000674,POC_20090820,,-1809.99247782864,4912.67479439827,371.419624919756,-6722.66727222691,-3816.0751522863,-617.932542542675,,452.397750137758,0,,8894.28473908949,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000726,POC_20090820,,3691.25635082193,3707.1254870463,-0.429911518359742,-15.869136224369,614.954279257121,4.27738160838726,,0,0,,3087.89382618079,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000727,POC_20090820,,-3691.25635082193,-3707.1254870463,-0.429911518359742,15.869136224369,-614.954279257121,-4.27738160838726,,0,0,,-3087.89382618079,0,,,
ACA 3,CDO0000639,POC_20090820,,113581.076527778,,,113581.076527778,,,,,,,,,,,
ACA 3 BA,CDO0000640,POC_20090820,,-137464.804722223,,,-137464.804722223,,,,,,,,,,,
