ProductDescription,TradeId,Strategy,SubStrategy,LTDPLChange,EstimatedPL,PercentResidualPL,ResidualPL,Total_CSDeltaEffect,Total_CSGammaEffect,Total_IREffect,CorrEffect,RecoveryEffect,DefaultEffect,ThetaEffect,CashflowEffect,NewBusinessEffect,TerminatedEffect,UnexplainedPL
Athilon 4,CDO0000646,POC_20090820,,106139.641408625,86272.5375955864,18.7178923438725,19867.1038130387,151046.903234229,-3448.86433810754,,21688.2885956285,0,,-83013.7898961632,0,,,
Athilon 5,CDO0000647,POC_20090820,,74833.6902738106,66482.5714324422,11.1595710579184,8351.11884136847,79960.9577979368,-2154.09420000463,,24722.9454411271,0,,-36047.2376066172,0,,,
Athilon 6,CDO0000649,POC_20090820,,136734.5276036,128332.437091402,6.14481993645095,8402.09051219805,177942.351076963,1273.7350298411,,39338.7228943632,0,,-90222.3719097655,0,,,
Athilon 7,CDO0000651,POC_20090820,,404153.131740507,368010.166111828,8.94288891763055,36142.9656286786,469788.286214838,-5510.91065715295,,113639.233867619,0,,-209906.443313476,0,,,
Athilon 7 offset,CDO0000652,POC_20090820,,-404824.042026859,-367996.377988544,9.09720278813652,-36827.6640383144,-469921.157692947,5519.19094229164,,-113727.844769061,0,,210133.433531173,0,,,
CDX6 7-10 7y ECD3450,CDO0000653,POC_20090820,,26338.3273100043,28289.5044571164,-7.40812855784867,-1951.17714711208,25163.5329146299,1687.98941841517,,7923.71639534148,0,,-6485.73427127022,0,,,
CDX6 7-10 7y ECD3449,CDO0000654,POC_20090820,,2646.16806509532,3728.68699457077,-40.908925769099,-1082.51892947545,-2627.80950184529,-489.634020299132,,41.423489061256,0,,6804.70702765393,0,,,
CDX6 7-10 7y ECD3453,CDO0000655,POC_20090820,,-26348.4049099898,-28287.416540059,-7.35912339548881,1939.01163006918,-25169.7203779396,-1687.95830950944,,-7930.72091905613,0,,6500.98306644615,0,,,
CDX6 7-10 7y ECD8112,CDO0000656,POC_20090820,,-2644.8008197716,-3725.16371047274,-40.848553986551,1080.36289070114,2629.42520042548,489.727141554697,,-41.4189906076361,0,,-6802.89706184529,0,,,
GNT LSS 1 - CDX7 30-60,CDO0000657,POC_20090820,,178851.235829612,140410.93294962,20.9064655966635,38440.3028799915,1828665.50797494,-36109.9015246925,,-1406595.45836196,0,,-245549.215138666,0,,,
GNT LSS 1 - GS,CDO0000658,POC_20090820,,-177546.283754328,-138810.305544047,21.2221169709041,-38735.9782102809,-1829258.3454453,36154.377384314,,1407277.50538307,0,,247016.157133864,0,,,
Nereus 2 BNP,CDO0000659,POC_20090820,,-222575.984888017,-207237.328708717,6.89142460136345,-15338.6561792998,-126566.266411542,7498.50077125012,,-191571.71107471,0,,103402.148006285,0,,,
Nereus 2 Mav1,CDO0000660,POC_20090820,,139191.404987776,129981.22299449,6.61691861943242,9210.18199328572,77568.4689942383,-4643.76656552633,,120847.938793891,0,,-63791.4182281131,0,,,
Nereus Dresdner,CDO0000661,POC_20090820,,-39992.450285512,-37098.4478566898,7.23637188559714,-2894.0024288222,-22672.3152591866,1343.84289820037,,-34319.6373206799,0,,18549.6618249763,0,,,
Nereus Mav1,CDO0000662,POC_20090820,,127259.926198203,118559.567733853,6.83668356902836,8700.35846435017,70782.1305009489,-4238.73001756032,,110281.043378926,0,,-58264.8761284612,0,,,
CDX7 0-3 10y Zero ECD4272,CDO0000671,POC_20090820,,-2404.40090126434,-4850.02371921925,-101.714436085467,2445.62281795491,-1796.51955579439,241.06363807458,,-215.250214279153,0,,-3079.31758722028,0,,,
CDX7 0-3 10y Zero ECD4273,CDO0000672,POC_20090820,,-3205.86787122957,-6466.69829829173,-101.714436091576,3260.83042706216,-2395.35940989317,321.418184209796,,-287.000285963106,0,,-4105.75678664524,0,,,
CDX7 0-3 10y Zero ECD4280,CDO0000673,POC_20090820,,-1294.67739708617,-2611.55121122018,-101.714436128861,1316.87381413401,-967.356675459331,129.803495734792,,-115.903960524483,0,,-1658.09407097116,0,,,
CDX7 0-3 10y Zero ECD8268,CDO0000674,POC_20090820,,6904.94616957998,13928.2732385382,-101.714436238472,-7023.32706895823,5159.23564114038,-692.285308205234,,618.154460766734,0,,8843.16844483634,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000726,POC_20090820,,6863.27738216999,6935.65888765743,-1.05462013928616,-72.3815054874367,3919.47033185229,50.7551399907721,,0,0,,2965.43341581436,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000727,POC_20090820,,-6863.27738216999,-6935.65888765743,-1.05462013928616,72.3815054874367,-3919.47033185229,-50.7551399907721,,0,0,,-2965.43341581436,0,,,
ACA 3,CDO0000639,POC_20090820,,113581.076527778,,,113581.076527778,,,,,,,,,,,
ACA 3 BA,CDO0000640,POC_20090820,,-137464.804722223,,,-137464.804722223,,,,,,,,,,,
