
******************** RISK RUN START (11/21/2010 9:10:32 AM - ) ********************

11/21/2010 9:10:32 AM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 05-Apr-2010 Official -e
11/21/2010 9:10:45 AM - 	8718 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/21/2010 9:10:45 AM - 	8734 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 10 Years
11/21/2010 9:10:46 AM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100405/Next-Data\OptexCurves.20100405.CSV -e
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.14-Jun-2010.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.14-Jun-2010.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.SEP10.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.DEC10.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.MAR11.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.JUN11.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.SEP11.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.DEC11.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.MAR12.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.2 Years.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.2 Years.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.3 Years.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.3 Years.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.4 Years.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.5 Years.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.6 Years.Mid
11/21/2010 9:10:54 AM - 	quote  CADLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 9:10:54 AM - 	Treating quote  CADLIBOR.7 Years.Mid
