
******************** RISK RUN START (11/20/2010 6:03:35 PM - ) ********************

11/20/2010 6:03:35 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 02-Nov-2009 Official -e
11/20/2010 6:03:46 PM - 	6578 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 5 Years
11/20/2010 6:03:46 PM - 	6625 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 6 Years
11/20/2010 6:03:46 PM - 	6625 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/20/2010 6:03:46 PM - 	6625 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 10 Years
11/20/2010 6:03:47 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20091102/Next-Data\OptexCurves.20091102.CSV -e
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.1 Months.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.1 Months.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.16-Dec-2009.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.16-Dec-2009.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.MAR10.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.MAR10.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.JUN10.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.DEC12.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.DEC12.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.4 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.5 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.6 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.7 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.8 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.8 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.9 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.10 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.12 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.15 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.20 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.20 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.25 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.25 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.30 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.30 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.40 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.40 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.50 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.50 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.60 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.60 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  GBPLIBOR.70 Years.Mid
11/20/2010 6:03:53 PM - 	quote  GBPLIBOR.70 Years.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  EURLIBOR.1 Days.Mid
11/20/2010 6:03:53 PM - 	quote  EURLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/20/2010 6:03:53 PM - 	quote  EURLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 6:03:53 PM - 	Treating quote  EURLIBOR.1 Months.Mid
