
******************** RISK RUN START (11/21/2010 9:19:36 AM - ) ********************

11/21/2010 9:19:36 AM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 06-Apr-2010 Official -e
11/21/2010 9:19:50 AM - 	8828 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/21/2010 9:19:50 AM - 	8843 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 10 Years
11/21/2010 9:19:51 AM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100406/Next-Data\OptexCurves.20100406.CSV -e
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.1 Months.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.1 Months.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.2 Months.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.2 Months.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.16-Jun-2010.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.16-Jun-2010.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.DEC12.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.DEC12.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.MAR13.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.MAR13.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.JUN13.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.JUN13.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.4 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.5 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.6 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.7 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.8 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.9 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.10 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.12 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.15 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.15 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.20 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.20 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.25 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.25 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.30 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.30 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.40 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.40 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.50 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.50 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.60 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.60 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  GBPLIBOR.70 Years.Mid
11/21/2010 9:19:59 AM - 	quote  GBPLIBOR.70 Years.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.1 Days.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.1 Months.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.1 Months.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.2 Months.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.2 Months.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.16-Jun-2010.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.16-Jun-2010.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.SEP10.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.DEC10.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.MAR11.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.JUN11.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.SEP11.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.DEC11.Mid
11/21/2010 9:19:59 AM - 	quote  EURLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 9:19:59 AM - 	Treating quote  EURLIBOR.MAR12.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.JUN12.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.SEP12.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.SEP12.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.DEC12.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.DEC12.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.MAR13.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.MAR13.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.JUN13.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.JUN13.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.4 Years.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.5 Years.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.6 Years.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.7 Years.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.8 Years.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.8 Years.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.9 Years.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.9 Years.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.10 Years.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.10 Years.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.11 Years.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.11 Years.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.12 Years.Mid
11/21/2010 9:20:00 AM - 	quote  EURLIBOR.12 Years.Mid  has been created/updated successfully.
11/21/2010 9:20:00 AM - 	Treating quote  EURLIBOR.15 Years.Mid
