ProductDescription,TradeId,Strategy,SubStrategy,LTDPLChange,EstimatedPL,PercentResidualPL,ResidualPL,Total_CSDeltaEffect,Total_CSGammaEffect,Total_IREffect,CorrEffect,RecoveryEffect,DefaultEffect,ThetaEffect,CashflowEffect,NewBusinessEffect,TerminatedEffect,UnexplainedPL
Athilon 4,CDO0000646,POC_20090820,,-260742.81790228,-284650.603405732,-9.16910605469192,23907.7855034523,-347774.723361708,-5989.33328210452,,161053.128401908,0,,-91939.6751638278,0,,,
Athilon 5,CDO0000647,POC_20090820,,-140662.001309246,-152948.399050691,-8.73469567266687,12286.3977414453,-139163.553712255,-1829.80054889465,,29311.1676320068,0,,-41266.2124215486,0,,,
Athilon 6,CDO0000649,POC_20090820,,-573879.523657402,-611399.400491342,-6.53793614987708,37519.8768339397,-489300.931328001,-9956.05257619683,,-7591.35040491394,0,,-104551.06618223,0,,,
Athilon 7,CDO0000651,POC_20090820,,-1452816.8733068,-1535518.2620506,-5.6924854235454,82701.3887437978,-1321618.59810014,-6037.4972148517,,25337.7920530376,0,,-233199.958788648,0,,,
Athilon 7 offset,CDO0000652,POC_20090820,,1453474.6983187,1536218.40376202,-5.69282049003256,-82743.7054433257,1322078.84365507,6050.22806329821,,-25378.835325112,0,,233468.167368762,0,,,
CDX6 7-10 7y ECD3450,CDO0000653,POC_20090820,,-92282.7031340636,-91881.1433915565,0.435140853994904,-401.559742507146,-68992.3127730117,820.274755154258,,-17262.5386363639,0,,-6446.56673733518,0,,,
CDX6 7-10 7y ECD3449,CDO0000654,POC_20090820,,53495.4345759726,54866.2218376353,-2.56243784638468,-1370.78726166268,43392.1093703814,187.480055172116,,3723.24291550973,0,,7563.38949657208,0,,,
CDX6 7-10 7y ECD3453,CDO0000655,POC_20090820,,92394.0948386835,91995.9026613955,0.430971457627508,398.192177288016,69074.4552965466,-819.864183462773,,17278.4214847985,0,,6462.89006351307,0,,,
CDX6 7-10 7y ECD8112,CDO0000656,POC_20090820,,-53486.5245150151,-54857.1309158073,-2.56252656761702,1370.60640079225,-43385.581083548,-187.199258540234,,-3723.03399405124,0,,-7561.31657966785,0,,,
GNT LSS 1 - CDX7 30-60,CDO0000657,POC_20090820,,-904211.579255595,-865322.290881287,4.14745015721455,-38889.2883743077,-2768353.34601678,-52880.5069065942,,2200936.1589703,0,,-245024.596928199,0,,,
GNT LSS 1 - GS,CDO0000658,POC_20090820,,904551.987281344,867066.723600833,3.9962098104146,37485.2636805107,2769562.80250605,52918.6768174332,,-2201986.42563051,0,,246571.669907858,0,,,
Nereus 2 BNP,CDO0000659,POC_20090820,,431104.927138235,463619.594995766,-7.542170318806,-32514.6678575302,600115.155581315,7397.52946203909,,-264544.810266396,0,,120651.720218807,0,,,
Nereus 2 Mav1,CDO0000660,POC_20090820,,-267561.393271798,-287579.160482884,-7.48156038743277,20017.7672110861,-373858.503781289,-4642.46067957484,,165480.670534583,0,,-74558.8665566035,0,,,
Nereus Dresdner,CDO0000661,POC_20090820,,77258.924079129,83081.1148214975,-7.53594592697839,-5822.19074236845,107503.522227029,1326.22644347726,,-47393.1570393524,0,,21644.5231903433,0,,,
Nereus Mav1,CDO0000662,POC_20090820,,-244221.137535569,-262482.91100067,-7.47755646762604,18261.7734651009,-341156.39635624,-4238.49191064456,,151012.171520556,0,,-68100.1942543415,0,,,
CDX7 0-3 10y Zero ECD4272,CDO0000671,POC_20090820,,-5141.96668982503,-6969.8171831217,-35.5476922266657,1827.85049329667,-4497.74804031387,286.483044115213,,347.627939837896,0,,-3106.18012676094,0,,,
CDX7 0-3 10y Zero ECD4273,CDO0000672,POC_20090820,,-6855.95559258614,-9293.08958424695,-35.5476922034949,2437.13399166082,-5996.99739248144,381.977394099487,,463.503920199827,0,,-4141.57350606483,0,,,
CDX7 0-3 10y Zero ECD4280,CDO0000673,POC_20090820,,-2768.75127038332,-3752.97844677314,-35.5476920920225,984.227176389822,-2421.86430830108,154.260103075529,,187.184273665463,0,,-1672.55851521305,0,,,
CDX7 0-3 10y Zero ECD8268,CDO0000674,POC_20090820,,14766.6735527944,20015.8851506451,-35.5476917606631,-5249.2115978507,12916.6097410682,-822.720604758554,,-998.316133703173,0,,8920.31214803865,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000726,POC_20090820,,7490.06669210375,7562.23760018981,-0.963554946208281,-72.1709080860646,4162.1269650321,124.882497194448,,0,0,,3275.22813796326,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000727,POC_20090820,,-7490.06669210375,-7562.23760018981,-0.963554946208281,72.1709080860646,-4162.1269650321,-124.882497194448,,0,0,,-3275.22813796326,0,,,
ACA 3,CDO0000639,POC_20090820,,113581.076527778,,,113581.076527778,,,,,,,,,,,
ACA 3 BA,CDO0000640,POC_20090820,,-137464.804722223,,,-137464.804722223,,,,,,,,,,,
