MARKIT Ticker,Currency,Sen/Sub,Doc Clause,RED Code,IsDefaulted,Defaulted Recovery Rate,Phoenix Reference Entity ID,Name,Country,Moodys,S&P,Moodys Industries,S&P Industries,CreditIndex,Series,Version (hardcoded),Credit Index Mapping,Recovery,Quote Date,Yr 1,Yr 2,Yr 3,Yr 4,Yr 5,Yr 6,Yr 7,Yr 8,Yr 9,Yr 10
NULL,USD,Senior,NULL,008HA7,False,,10025,AGRIUM INC.,CA,Baa2,BBB,Farming and Agriculture,Farming / Agriculture,,,,s9.DJ CDX.NA.IG,0.392500000,04/11/2010,52.200000000000000,68.700000000000000,85.000000000000000,103.331700590063000,122.700000000000000,127.818383697731000,132.700000000000000,137.435821514467000,141.936622272655000,146.200000000000000,
AKZO,EUR,Senior,NULL,0B11AI,False,,10035,AKZO Nobel N.V.,NL,A3,A-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.iTraxx Europe,0.400000000,04/11/2010,28.600000000000000,39.000000000000000,49.000000000000000,59.800000000000000,69.400000000000000,73.149086559925200,76.200000000000000,78.741680498026200,80.665417994107400,82.000000000000000,
NULL,USD,Senior,Excluded,6A59CJ,False,,10040,New Albertson's_ Inc.,US,B1,BBB-   *-,Grocery,Food / Drug retailers,,,,s9.DJ CDX.NA.IG,0.395238095,04/11/2010,345.900000000000000,430.770000000000000,477.970000000000000,547.740000000000000,593.160000000000000,602.492084769768000,609.790000000000000,616.235481889909000,620.850017650448000,623.700000000000000,
NULL,USD,Senior,NULL,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,04/11/2010,10.500000000000000,15.500000000000000,18.500000000000000,25.688590219329200,33.800000000000000,36.455099960631600,38.900000000000000,41.014118000070600,42.912119802608400,44.600000000000000,
NULL,USD,Senior,Excluded,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,04/11/2010,10.500000000000000,15.500000000000000,18.500000000000000,25.688590219329200,33.800000000000000,36.455099960631600,38.900000000000000,41.014118000070600,42.912119802608400,44.600000000000000,
AA,USD,Senior,NULL,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,04/11/2010,83.300000000000000,137.900000000000000,176.300000000000000,216.500000000000000,255.100000000000000,264.450132654892000,273.600000000000000,280.021172784646000,286.122185460719000,291.900000000000000,
AA,USD,Senior,Excluded,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,04/11/2010,83.300000000000000,137.900000000000000,176.300000000000000,216.500000000000000,255.100000000000000,264.450132654892000,273.600000000000000,280.021172784646000,286.122185460719000,291.900000000000000,
ALTEL,USD,Senior,NULL,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,04/11/2010,4.700000000000000,8.800000000000000,14.000000000000000,18.700000000000000,22.300000000000000,25.644633158083500,29.100000000000000,31.079802900803800,32.946389463065600,34.700000000000000,
ALTEL,USD,Senior,Excluded,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,04/11/2010,4.700000000000000,8.800000000000000,14.000000000000000,18.700000000000000,22.300000000000000,25.644633158083500,29.100000000000000,31.079802900803800,32.946389463065600,34.700000000000000,
HESS,USD,Senior,NULL,46A89Q,False,,10061,Hess Corporation,US,Baa2,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.400000000,04/11/2010,33.600000000000000,48.000000000000000,60.900000000000000,72.200000000000000,82.900000000000000,87.404531252800200,91.100000000000000,94.054504409736600,96.275918202027700,97.800000000000000,
