ProductDescription,TradeId,Strategy,SubStrategy,LTDPLChange,EstimatedPL,PercentResidualPL,ResidualPL,Total_CSDeltaEffect,Total_CSGammaEffect,Total_IREffect,CorrEffect,RecoveryEffect,DefaultEffect,ThetaEffect,CashflowEffect,NewBusinessEffect,TerminatedEffect,UnexplainedPL
Athilon 4,CDO0000646,POC_20090820,,144786.831977492,139198.002798959,3.86003968883177,5588.82917853337,175395.462789213,-3165.31900417562,,-5534.90756285339,0,,-27497.2334232256,0,,,
Athilon 5,CDO0000647,POC_20090820,,59972.4616504721,58138.2397903329,3.05844017347378,1834.22186013919,90667.9953066478,-1492.83236669158,,-19137.5619511435,0,,-11899.3611984798,0,,,
Athilon 6,CDO0000649,POC_20090820,,197182.287253674,186495.243959321,5.41987997157382,10687.043294353,219195.818232847,-5850.55358141333,,3041.73394291579,0,,-29891.7546350285,0,,,
Athilon 7,CDO0000651,POC_20090820,,470223.950859595,453604.730904832,3.53432017326692,16619.2199547634,527258.227225248,-5892.8121598468,,689.116512237008,0,,-68449.8006728068,0,,,
Athilon 7 offset,CDO0000652,POC_20090820,,-470221.08729215,-453794.853948385,3.49330002156168,-16426.2333437642,-527535.559545525,5901.58784544481,,-686.502323564404,0,,68525.6200752594,0,,,
CDX6 7-10 7y ECD3450,CDO0000653,POC_20090820,,17694.1506451266,13733.4903113793,22.3840093440043,3960.66033374733,11329.1261027985,575.022492054339,,4000.70605494856,0,,-2171.36433842219,0,,,
CDX6 7-10 7y ECD3449,CDO0000654,POC_20090820,,11761.525740898,12419.9034196477,-5.59772340131338,-658.377678749743,8755.09237089129,-159.540342212668,,1540.19223138234,0,,2284.15915958676,0,,,
CDX6 7-10 7y ECD3453,CDO0000655,POC_20090820,,-17685.1839915747,-13734.3089084903,22.3400281555828,-3950.8750830844,-11331.6440475764,-574.863049885209,,-4004.24798486231,0,,2176.44617383368,0,,,
CDX6 7-10 7y ECD8112,CDO0000656,POC_20090820,,-11759.3133665703,-12417.996430938,-5.60137351420781,658.683064367766,-8754.1400324003,159.723054135627,,-1540.02860075973,0,,-2283.55085191363,0,,,
GNT LSS 1 - CDX7 30-60,CDO0000657,POC_20090820,,1089909.33767737,712786.246760703,34.012903492798,377123.090916668,1222059.51414909,-79150.5116681182,,-348045.354344257,0,,-82077.401376009,0,,,
GNT LSS 1 - GS,CDO0000658,POC_20090820,,-1071875.76678841,-712531.901971411,32.9546525806031,-359343.864817004,-1222529.08012217,79197.9529832555,,348214.276227082,0,,82584.9489404232,0,,,
Nereus 2 BNP,CDO0000659,POC_20090820,,-166308.645743838,-161526.798047452,2.8752850911616,-4781.84769638532,-304768.129905135,6423.95529015843,,102655.461846979,0,,34161.9147205446,0,,,
Nereus 2 Mav1,CDO0000660,POC_20090820,,101114.468783,98529.4231868955,2.55655360426384,2585.04559610401,187659.229886843,-3987.37939602054,,-64119.0616500313,0,,-21023.3656538958,0,,,
Nereus Dresdner,CDO0000661,POC_20090820,,-29759.4321991017,-28925.872477486,2.80099336586397,-833.559721615624,-54596.3637553751,1151.39855114551,,18390.4811902828,0,,6128.6115364607,0,,,
Nereus Mav1,CDO0000662,POC_20090820,,92203.370612097,89891.0218686656,2.50787875549533,2312.3487434314,171245.878182904,-3639.87368259329,,-58512.5329946686,0,,-19202.4496369762,0,,,
CDX7 0-3 10y Zero ECD4272,CDO0000671,POC_20090820,,334.321769460454,-457.186818173488,236.75053793575,791.508587633941,463.957276510746,158.728860879758,,-52.7424214705135,0,,-1027.13053409348,0,,,
CDX7 0-3 10y Zero ECD4273,CDO0000672,POC_20090820,,445.762359680695,-609.582428290949,236.750538723727,1055.34478797164,618.609702574571,211.638477845309,,-70.3232286904611,0,,-1369.50738002037,0,,,
CDX7 0-3 10y Zero ECD4280,CDO0000673,POC_20090820,,180.019412755486,-246.177514680085,236.750537573667,426.196927435571,249.823146712121,85.4693865345388,,-28.3997651596114,0,,-553.070282767134,0,,,
CDX7 0-3 10y Zero ECD8268,CDO0000674,POC_20090820,,-960.103541896562,1312.94675253788,236.750537337287,-2273.05029443444,-1332.39012578058,-455.836733883005,,151.465415320585,0,,2949.70819688088,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000726,POC_20090820,,-600.041289252498,-606.978468763169,-1.15611702643214,6.93717951067106,-1642.22155457311,56.2035067171546,,0,0,,979.039579092787,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000727,POC_20090820,,600.041289252498,606.978468763169,-1.15611702643214,-6.93717951067106,1642.22155457311,-56.2035067171546,,0,0,,-979.039579092787,0,,,
ACA 3,CDO0000639,POC_20090820,,113581.076527778,,,113581.076527778,,,,,,,,,,,
ACA 3 BA,CDO0000640,POC_20090820,,-137464.804722223,,,-137464.804722223,,,,,,,,,,,
