MARKIT Ticker,Currency,Sen/Sub,Doc Clause,RED Code,IsDefaulted,Defaulted Recovery Rate,Phoenix Reference Entity ID,Name,Country,Moodys,S&P,Moodys Industries,S&P Industries,CreditIndex,Series,Version (hardcoded),Credit Index Mapping,Recovery,Quote Date,Yr 1,Yr 2,Yr 3,Yr 4,Yr 5,Yr 6,Yr 7,Yr 8,Yr 9,Yr 10
NULL,USD,Senior,NULL,008HA7,False,,10025,AGRIUM INC.,CA,Baa2,BBB,Farming and Agriculture,Farming / Agriculture,,,,s9.DJ CDX.NA.IG,0.392500000,02/11/2010,51.300000000000000,68.800000000000000,87.100000000000000,107.026976964722000,126.800000000000000,132.356145995445000,137.600000000000000,142.509080806981000,147.108592302999000,151.400000000000000,
AKZO,EUR,Senior,NULL,0B11AI,False,,10035,AKZO Nobel N.V.,NL,A3,A-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.iTraxx Europe,0.400000000,02/11/2010,28.300000000000000,38.800000000000000,49.800000000000000,60.600000000000000,70.300000000000000,73.970692711839000,77.100000000000000,79.875690259596300,82.169442820882500,84.000000000000000,
NULL,USD,Senior,Excluded,6A59CJ,False,,10040,New Albertson's_ Inc.,US,B1,BBB-   *-,Grocery,Food / Drug retailers,,,,s9.DJ CDX.NA.IG,0.395238095,02/11/2010,358.370000000000000,437.130000000000000,482.830000000000000,548.610000000000000,596.000000000000000,606.088471418226000,614.290000000000000,619.669671651778000,623.237013412271000,625.060000000000000,
NULL,USD,Senior,NULL,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,02/11/2010,10.000000000000000,15.600000000000000,18.600000000000000,26.083695524835100,34.500000000000000,37.170847901700600,39.700000000000000,41.323495088880000,42.720852328323700,43.900000000000000,
NULL,USD,Senior,Excluded,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,02/11/2010,10.000000000000000,15.600000000000000,18.600000000000000,26.083695524835100,34.500000000000000,37.170847901700600,39.700000000000000,41.323495088880000,42.720852328323700,43.900000000000000,
AA,USD,Senior,NULL,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,02/11/2010,104.000000000000000,152.700000000000000,194.000000000000000,228.000000000000000,270.700000000000000,279.897664953410000,288.900000000000000,295.399910453906000,301.600954078471000,307.500000000000000,
AA,USD,Senior,Excluded,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,02/11/2010,104.000000000000000,152.700000000000000,194.000000000000000,228.000000000000000,270.700000000000000,279.897664953410000,288.900000000000000,295.399910453906000,301.600954078471000,307.500000000000000,
ALTEL,USD,Senior,NULL,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,02/11/2010,4.100000000000000,9.000000000000000,13.200000000000000,18.700000000000000,22.400000000000000,25.638714215281600,29.000000000000000,30.976030150330400,32.876434986507100,34.700000000000000,
ALTEL,USD,Senior,Excluded,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,02/11/2010,4.100000000000000,9.000000000000000,13.200000000000000,18.700000000000000,22.400000000000000,25.638714215281600,29.000000000000000,30.976030150330400,32.876434986507100,34.700000000000000,
HESS,USD,Senior,NULL,46A89Q,False,,10061,Hess Corporation,US,Baa2,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.400000000,02/11/2010,33.000000000000000,47.300000000000000,60.000000000000000,71.300000000000000,82.300000000000000,86.832866652251100,90.600000000000000,93.833363464471400,96.389807737030200,98.300000000000000,
