
******************** RISK RUN START (11/20/2010 11:56:41 PM - ) ********************

11/20/2010 11:56:41 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 06-Jan-2010 Official -e
11/20/2010 11:56:52 PM - 	6703 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 6 Years
11/20/2010 11:56:52 PM - 	6750 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/20/2010 11:56:52 PM - 	6750 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 10 Years
11/20/2010 11:56:55 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100106/Next-Data\OptexCurves.20100106.CSV -e
11/20/2010 11:57:01 PM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/20/2010 11:57:01 PM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 11:57:01 PM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/20/2010 11:57:01 PM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 11:57:01 PM - 	Treating quote  GBPLIBOR.1 Months.Mid
11/20/2010 11:57:01 PM - 	quote  GBPLIBOR.1 Months.Mid  has been created/updated successfully.
11/20/2010 11:57:01 PM - 	Treating quote  GBPLIBOR.2 Months.Mid
11/20/2010 11:57:01 PM - 	quote  GBPLIBOR.2 Months.Mid  has been created/updated successfully.
11/20/2010 11:57:01 PM - 	Treating quote  GBPLIBOR.17-Mar-2010.Mid
11/20/2010 11:57:01 PM - 	quote  GBPLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/20/2010 11:57:01 PM - 	Treating quote  GBPLIBOR.JUN10.Mid
11/20/2010 11:57:01 PM - 	quote  GBPLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 11:57:01 PM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/20/2010 11:57:01 PM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
