MARKIT Ticker,Currency,Sen/Sub,Doc Clause,RED Code,IsDefaulted,Defaulted Recovery Rate,Phoenix Reference Entity ID,Name,Country,Moodys,S&P,Moodys Industries,S&P Industries,CreditIndex,Series,Version (hardcoded),Credit Index Mapping,Recovery,Quote Date,TRACS ID,Yr 1,Yr 2,Yr 3,Yr 4,Yr 5,Yr 6,Yr 7,Yr 8,Yr 9,Yr 10
NULL,USD,Senior,NULL,003CB6,TRUE,0.0325,10007,ABITIBI-CONSOLIDATED INC.,CA,Caa2,B-,Printing and Publishing,Forest Products,,,,s9.DJ CDX.NA.IG,0.39047619,9/11/2009,116,,,,,,,,,,
BOW,USD,Senior,NULL,1B239B,TRUE,0.15,10198,Bowater Incorporated,US,Caa2,B-,Printing and Publishing,Forest Products,,,,s9.DJ CDX.NA.IG,0.15,9/11/2009,29632,,,,,,,,,,
CEM,USD,Senior,NULL,179BHC,TRUE,0.15,10346,Chemtura Corporation,US,Ba2    *-,BB     *-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.175,9/11/2009,,,,,,,,,,,
NULL,USD,Senior,NULL,258D92,TRUE,0.75,10362,DANA CORPORATION,US,WR,D,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.396666667,9/11/2009,2149,,,,,,,,,,
NULL,USD,Senior,NULL,2BD88Z,TRUE,0.275,10465,Equistar Chemicals_ LP,US,B1     *-,B+,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.396428571,9/11/2009,44975,,,,,,,,,,
NULL,USD,Senior,NULL,3A7486,TRUE,0.125,10532,GENERAL MOTORS CORPORATION,US,Caa1   *-,B-,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.3925,9/11/2009,2846,,,,,,,,,,
GLK,USD,Senior,NULL,3C95BE,TRUE,0.1825,10552,Great Lakes Chemical Corporation,US,Ba2    *-,BB+,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.29,9/11/2009,85001,,,,,,,,,,
LEA,USD,Senior,NULL,5H39EB,TRUE,0.385,10698,Lear Corporation,US,B3,B+,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,432954,,,,,,,,,,
NULL,USD,Senior,NULL,UZA6AC,TRUE,0.155,10719,Lyondell Chemical Company,US,B1     *-,B+,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,78455,,,,,,,,,,
NULL,USD,Senior,NULL,8HF64B,TRUE,0.015,11123,Tribune Company,US,N.A.,B-,Printing and Publishing,Publishing,,,,s9.DJ CDX.NA.IG,0.39375,9/11/2009,171791,,,,,,,,,,
NULL,USD,Senior,NULL,26AF99,TRUE,0.63375,11678,Delphi Corporation,US,WR,WR,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.392857143,9/11/2009,154586,,,,,,,,,,
FNMA,USD,Subordinated,NULL,3E48EV,TRUE,0.999,11754,Federal National Mortgage Association,US,Aaa,N.A.,Finance,Sovereign,,,,s9.DJ CDX.NA.IG,0.91508,9/11/2009,2577,,,,,,,,,,
NULL,USD,Senior,NULL,576D98,TRUE,0.08625,12022,Lehman Brothers Holdings Inc.,US,A2,A,Finance,Brokers_ Dealers & Investment Houses,,,,s9.DJ CDX.NA.IG,0.395454545,9/11/2009,3802,,,,,,,,,,
NULL,USD,Senior,NULL,7BCA23,TRUE,0.4125,12326,Quebecor World Inc.,CA,WR,D,Printing and Publishing,Publishing,,,,s9.DJ CDX.NA.IG,0.392857143,9/11/2009,5202,,,,,,,,,,
NULL,USD,Senior,NULL,9BABC3,TRUE,0.03,14156,Visteon Corporation,US,Caa1,B,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.39375,9/11/2009,308684,,,,,,,,,,
SSCC-SSCE,USD,Senior,NULL,8B599A,TRUE,0.08875,28319,Smurfit-Stone Container Enterprises_ Inc.,US,B3,B+,Containers_ Packaging and Glass,Forest Products,,,,s9.DJ CDX.NA.IG,0.08875,9/11/2009,44528,,,,,,,,,,
LYO-America,USD,Senior,NULL,6G039T,TRUE,0.07125,28686,MILLENNIUM AMERICA INC.,US,B3,WR,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.DJ CDX.NA.IG,0.07125,9/11/2009,4113,,,,,,,,,,
GLTNR,EUR,Senior,NULL,XA37FV,TRUE,0.03,29184,Glitnir banki hf.,IS,A2,BBB+,Banking,Financial Intermediaries,,,,s9.iTraxx Europe,0.06062,9/11/2009,116346,,,,,,,,,,
DRRA-OpCo,USD,Senior,NULL,28C95S,TRUE,0.24125,29503,Dura Operating Corp.,US,WR,N.A.,Automobile,Automotive,,,,s9.DJ CDX.NA.IG,0.335,9/11/2009,77004,,,,,,,,,,
LANISL,EUR,Senior,NULL,X1BD7U,TRUE,0.0125,30211,Landsbanki Islands hf,IS,A2,N.A.,Banking,Financial Intermediaries,,,,s9.iTraxx Europe,0.01,9/11/2009,3761,,,,,,,,,,
KAUPBN,EUR,Senior,NULL,XB776W,TRUE,0.06625,30586,Kaupthing banki hf.,IS,A1,N.A.,Finance,Financial Intermediaries,,,,s9.iTraxx Europe,0.07126,9/11/2009,756944,,,,,,,,,,
FLEX-FLECOR,USD,Senior,NULL,NULL,FALSE,,31932,Flextronics Corporation,US,Ba2,BB-,Electronics,Business Equipment & Services,,,,s9.DJ CDX.NA.IG,0.28379,9/11/2009,,,,,,,,,,,
NULL,USD,Senior,NULL,0A143H,FALSE,,10019,The AES Corporation,US,B1,BB-,Utilities,Utilities,,,,s9.DJ CDX.NA.IG,0.391333333,9/11/2009,136444,308.8290731,379.201674,435.3933543,477.9524761,520.8458079,527.3993462,533.8211493,533.1113387,532.1984792,531.0857954
NULL,USD,Senior,NULL,008HA7,FALSE,,10025,AGRIUM INC.,CA,Baa2,BBB,Farming and Agriculture,Farming / Agriculture,,,,s9.DJ CDX.NA.IG,0.3925,9/11/2009,222,55.22651509,64.03363977,72.39826214,80.32038222,87.8,92.48716588,96.6,102.6261186,108.2155721,113.3683604
AKZO,EUR,Senior,NULL,0B11AI,FALSE,,10035,AKZO Nobel N.V.,NL,A3,A-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.iTraxx Europe,0.4,9/11/2009,395262,44.8,53.9,64.7,70.4,77.8,80.81390991,82.9,85.61380727,87.66959514,89.1
NULL,USD,Senior,NULL,6A59CJ,FALSE,,10040,New Albertson's_ Inc.,US,B1,BBB-   *-,Grocery,Food / Drug retailers,,,,s9.DJ CDX.NA.IG,0.395238095,9/11/2009,302,167.4271976,183.0349997,196.1367744,205.3067663,214.348882,220.5202293,226.4089434,231.1315467,235.5305382,239.6056162
NULL,USD,Senior,Excluded,6A59CJ,FALSE,,10040,New Albertson's_ Inc.,US,B1,BBB-   *-,Grocery,Food / Drug retailers,,,,s9.DJ CDX.NA.IG,0.395238095,9/11/2009,302,167.4271976,183.0349997,196.1367744,205.3067663,214.348882,220.5202293,226.4089434,231.1315467,235.5305382,239.6056162
NULL,USD,Senior,NULL,7DD92F,FALSE,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,9/11/2009,304,18.99806866,22.28037634,25.39655638,28.34660876,31.1305335,33.74833057,36.2,38.48554177,40.60495589,42.55824236
NULL,USD,Senior,Excluded,7DD92F,FALSE,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,9/11/2009,304,18.99806866,22.28037634,25.39655638,28.34660876,31.1305335,33.74833057,36.2,38.48554177,40.60495589,42.55824236
ALYD,EUR,Senior,NULL,GG232R,FALSE,,10055,ALLIED DOMECQ LIMITED,GB,WR,BB,Beverage_ Food and Tobacco,Beverage & Tobacco,,,,s9.iTraxx Europe,0.4,9/11/2009,176580,61.7,69.4,76.3,82.2,86,89.26495184,91.9,93.65673349,94.81330196,95.4
ALTEL,USD,Senior,NULL,0C204K,FALSE,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,395267,4.2,6.5,10.7,13.1,15.7,17.50656143,19.3,20.15986055,20.89164562,21.5
ALTEL,USD,Senior,Excluded,0C204K,FALSE,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.4,9/11/2009,395267,4.2,6.5,10.7,13.1,15.7,17.50656143,19.3,20.15986055,20.89164562,21.5
