
******************** RISK RUN START (11/21/2010 1:43:05 AM - ) ********************

11/21/2010 1:43:05 AM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 26-Jan-2010 Official -e
11/21/2010 1:43:16 AM - 	6656 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 6 Years
11/21/2010 1:43:16 AM - 	6687 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/21/2010 1:43:16 AM - 	6703 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 10 Years
11/21/2010 1:43:17 AM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100126/Next-Data\OptexCurves.20100126.CSV -e
11/21/2010 1:43:23 AM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.1 Months.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.1 Months.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.17-Mar-2010.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.17-Mar-2010.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.JUN10.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.JUN10.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.DEC12.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.DEC12.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.MAR13.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.MAR13.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.4 Years.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.4 Years.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.5 Years.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.5 Years.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.6 Years.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.6 Years.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.7 Years.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.7 Years.Mid  has been created/updated successfully.
11/21/2010 1:43:24 AM - 	Treating quote  GBPLIBOR.8 Years.Mid
11/21/2010 1:43:24 AM - 	quote  GBPLIBOR.8 Years.Mid  has been created/updated successfully.
