
******************** RISK RUN START (11/21/2010 12:50:34 PM - ) ********************

11/21/2010 12:50:34 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 07-May-2010 Official -e
11/21/2010 12:50:48 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100507/Next-Data\OptexCurves.20100507.CSV -e
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.1 Months.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.1 Months.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.16-Jun-2010.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.16-Jun-2010.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/21/2010 12:50:56 PM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
11/21/2010 12:50:56 PM - 	Treating quote  GBPLIBOR.DEC12.Mid
