MARKIT Ticker,Currency,Sen/Sub,Doc Clause,RED Code,IsDefaulted,Defaulted Recovery Rate,Phoenix Reference Entity ID,Name,Country,Moodys,S&P,Moodys Industries,S&P Industries,CreditIndex,Series,Version (hardcoded),Credit Index Mapping,Recovery,Quote Date,Yr 1,Yr 2,Yr 3,Yr 4,Yr 5,Yr 6,Yr 7,Yr 8,Yr 9,Yr 10
NULL,USD,Senior,NULL,008HA7,False,,10025,AGRIUM INC.,CA,Baa2,BBB,Farming and Agriculture,Farming / Agriculture,,,,s9.DJ CDX.NA.IG,0.392500000,29/10/2010,53.200000000000000,71.500000000000000,89.500000000000000,109.337219909641000,128.800000000000000,134.888628203502000,140.600000000000000,145.808450575689000,150.641491228356000,155.100000000000000,
AKZO,EUR,Senior,NULL,0B11AI,False,,10035,AKZO Nobel N.V.,NL,A3,A-,Chemicals_ Plastics and Rubber,Chemicals & Plastics,,,,s9.iTraxx Europe,0.400000000,29/10/2010,30.800000000000000,41.000000000000000,50.600000000000000,60.800000000000000,71.000000000000000,74.700309863689100,77.700000000000000,80.058236099432000,81.781314184396100,82.900000000000000,
NULL,USD,Senior,Excluded,6A59CJ,False,,10040,New Albertson's_ Inc.,US,B1,BBB-   *-,Grocery,Food / Drug retailers,,,,s9.DJ CDX.NA.IG,0.395238095,29/10/2010,374.200000000000000,452.500000000000000,494.000000000000000,551.693041262401000,611.000000000000000,619.212287443497000,625.300000000000000,632.262984770876000,637.408657676708000,640.800000000000000,
NULL,USD,Senior,NULL,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,29/10/2010,9.200000000000000,16.700000000000000,20.500000000000000,27.631739497974000,35.600000000000000,37.938825990889600,40.000000000000000,41.819019086889300,43.382589672760800,44.700000000000000,
NULL,USD,Senior,Excluded,7DD92F,False,,10041,Rio Tinto Alcan_ Inc,CA,A3,BBB+   *+,Mining_ Steel_ Iron and Non-Precious Metals,Nonferrous Metals / Minerals,,,,s9.DJ CDX.NA.IG,0.392857143,29/10/2010,9.200000000000000,16.700000000000000,20.500000000000000,27.631739497974000,35.600000000000000,37.938825990889600,40.000000000000000,41.819019086889300,43.382589672760800,44.700000000000000,
AA,USD,Senior,NULL,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,29/10/2010,99.700000000000000,155.500000000000000,194.000000000000000,234.700000000000000,274.500000000000000,283.080438386037000,291.400000000000000,297.675891384219000,303.609912947268000,309.200000000000000,
AA,USD,Senior,Excluded,014B98,False,,10043,Alcoa Inc.,US,Baa1,BBB+,Mining_ Steel_ Iron and Non-Precious Metals,Steel,,,,s9.DJ CDX.NA.IG,0.400000000,29/10/2010,99.700000000000000,155.500000000000000,194.000000000000000,234.700000000000000,274.500000000000000,283.080438386037000,291.400000000000000,297.675891384219000,303.609912947268000,309.200000000000000,
ALTEL,USD,Senior,NULL,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,29/10/2010,4.300000000000000,9.000000000000000,12.800000000000000,17.800000000000000,22.000000000000000,25.387842200435900,28.900000000000000,31.112675049824000,33.247013747115700,35.300000000000000,
ALTEL,USD,Senior,Excluded,0C204K,False,,10057,ALLTEL Corporation,US,Caa1   *+,B+     *+,Telecommunications,Telecommunications - Wireline and Wireless,,,,s9.DJ CDX.NA.IG,0.400000000,29/10/2010,4.300000000000000,9.000000000000000,12.800000000000000,17.800000000000000,22.000000000000000,25.387842200435900,28.900000000000000,31.112675049824000,33.247013747115700,35.300000000000000,
HESS,USD,Senior,NULL,46A89Q,False,,10061,Hess Corporation,US,Baa2,BBB-,Oil and Gas,Oil & Gas,,,,s9.DJ CDX.NA.IG,0.400000000,29/10/2010,33.100000000000000,47.500000000000000,60.300000000000000,71.700000000000000,82.600000000000000,87.239272448377800,91.100000000000000,94.351334578811900,96.907268417293700,98.800000000000000,
AEP,USD,Senior,NULL,027A8A,False,,10066,AMERICAN ELECTRIC POWER COMPANY_ INC.,US,Baa2,BBB,Utilities,Utilities,,,,s9.DJ CDX.NA.IG,0.400000000,29/10/2010,15.800000000000000,25.500000000000000,37.300000000000000,48.700000000000000,59.500000000000000,63.941470787699200,68.000000000000000,72.112107473110300,75.910524316421000,79.400000000000000,
AEP,USD,Senior,Excluded,027A8A,False,,10066,AMERICAN ELECTRIC POWER COMPANY_ INC.,US,Baa2,BBB,Utilities,Utilities,,,,s9.DJ CDX.NA.IG,0.400000000,29/10/2010,15.800000000000000,25.500000000000000,37.300000000000000,48.700000000000000,59.500000000000000,63.941470787699200,68.000000000000000,72.112107473110300,75.910524316421000,79.400000000000000,
