
******************** RISK RUN START (11/20/2010 8:18:52 PM - ) ********************

11/20/2010 8:18:52 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 26-Nov-2009 Official -e
11/20/2010 8:19:03 PM - 	6625 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 10 Years
11/20/2010 8:19:06 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20091126/Next-Data\OptexCurves.20091126.CSV -e
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.1 Days.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.16-Dec-2009.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.16-Dec-2009.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.MAR10.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.MAR10.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.JUN10.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.SEP10.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.DEC10.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.MAR11.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.JUN11.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.SEP11.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.DEC11.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.DEC11.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.MAR12.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.MAR12.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.JUN12.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.JUN12.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.SEP12.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.SEP12.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.DEC12.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.DEC12.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.4 Years.Mid
11/20/2010 8:19:12 PM - 	quote  EURLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 8:19:12 PM - 	Treating quote  EURLIBOR.5 Years.Mid
