
******************** RISK RUN START (11/20/2010 11:33:50 PM - ) ********************

11/20/2010 11:33:50 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 01-Jan-2010 Official -e
11/20/2010 11:34:02 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20100101/Next-Data\OptexCurves.20100101.CSV -e
11/20/2010 11:34:08 PM - 	Invalid path C:/Quantifi/NightlyBatch/20100101/Next-Data\OptexCurves.20100101.CSV
11/20/2010 11:34:09 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 31-Dec-2009 01-Jan-2010 --quoteType="ED Future" -m "Insert" -f C:/Quantifi/NightlyBatch/20100101/logs/CopyEDFuture.csv -e
11/20/2010 11:34:15 PM - 	Found 45 quotes for 31-Dec-2009
11/20/2010 11:34:16 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 11:34:16 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 31-Dec-2009 01-Jan-2010 --quoteType="MM Rate" -m "Insert" -f C:/Quantifi/NightlyBatch/20100101/logs/CopyMMRate.csv -e
11/20/2010 11:34:23 PM - 	Found 34 quotes for 31-Dec-2009
11/20/2010 11:34:23 PM - 	**31-Dec-2009 to 01-Jan-2010, <Insert> Saved:True MarketSet:Closing Type:MM Rate Source:Optex Name:EURLIBOR.2 Days.Mid Value:0.0082597
11/20/2010 11:34:23 PM - 	**31-Dec-2009 to 01-Jan-2010, <Insert> Saved:True MarketSet:Closing Type:MM Rate Source:Optex Name:USDLIBOR.1 Weeks.Mid Value:0.000376
11/20/2010 11:34:23 PM - 	Actual Run: Added 2 quotes and updated 0 quotes.
11/20/2010 11:34:25 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 31-Dec-2009 01-Jan-2010 --quoteType="Swap Rate" -m "Insert" -f C:/Quantifi/NightlyBatch/20100101/logs/CopySwapRate.csv -e
11/20/2010 11:34:32 PM - 	Found 86 quotes for 31-Dec-2009
11/20/2010 11:34:32 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 11:34:33 PM - Script call: C:/Quantifi/9.4.1/bin/NextImportFX.py C:/Quantifi/NightlyBatch/20100101/Next-Data\FXRates.20100101.CSV -e
11/20/2010 11:34:40 PM - Script call: C:/Quantifi/9.4.1/bin/NextImportTrancheQuotes.py C:/Quantifi/NightlyBatch/20100101/Next-Data\CreditIndexTrancheMarks.20100101.CSV -e
11/20/2010 11:34:45 PM - 	Invalid path C:/Quantifi/NightlyBatch/20100101/Next-Data\CreditIndexTrancheMarks.20100101.CSV
11/20/2010 11:34:47 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 31-Dec-2009 01-Jan-2010 --quoteType="Tranche Fee" -m "Insert" -f C:/Quantifi/NightlyBatch/20100101/logs/CopyTrancheFee.csv -e
11/20/2010 11:34:53 PM - 	Found 18 quotes for 31-Dec-2009
11/20/2010 11:34:53 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 11:34:54 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 31-Dec-2009 01-Jan-2010 --quoteType="Tranche Premium" -m "Insert" -f C:/Quantifi/NightlyBatch/20100101/logs/CopyTranchePremium.csv -e
11/20/2010 11:35:00 PM - 	Found 66 quotes for 31-Dec-2009
11/20/2010 11:35:00 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 11:35:01 PM - Script call: C:/Quantifi/9.4.1/bin/CopyQuotes.py 31-Dec-2009 01-Jan-2010 --quoteType="CDX Spread" -m "Insert" -f C:/Quantifi/NightlyBatch/20100101/logs/CopyCDXSpread.csv -e
11/20/2010 11:35:07 PM - 	Found 15 quotes for 31-Dec-2009
11/20/2010 11:35:08 PM - 	Actual Run: Added 0 quotes and updated 0 quotes.
11/20/2010 11:35:08 PM - Script call: C:/Quantifi/9.4.1/bin/ImportNextData.py C:/Quantifi/NightlyBatch/20100101/Next-Data\CDSSpreads.20100101.CSV -e
11/20/2010 11:36:02 PM - 	Mapping outdated REDs to previous tickers
11/20/2010 11:36:02 PM - 	Quote  DANACO.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:36:02 PM - 	Quote  MLCOM.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:36:02 PM - 	Quote  FNMA-New.USD.Subordinated.Modified.Recovery  has already been treated.
11/20/2010 11:36:02 PM - 	Quote  WCPINC.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
11/20/2010 11:36:02 PM - 	Quote  WYELLC.USD.SeniorUnsecured.Modified.Recovery  has already been treated.
