ProductDescription,TradeId,Strategy,SubStrategy,LTDPLChange,EstimatedPL,PercentResidualPL,ResidualPL,Total_CSDeltaEffect,Total_CSGammaEffect,Total_IREffect,CorrEffect,RecoveryEffect,DefaultEffect,ThetaEffect,CashflowEffect,NewBusinessEffect,TerminatedEffect,UnexplainedPL
Athilon 4,CDO0000646,POC_20090820,,68329.3715022635,97903.6029332165,-43.2818724667669,-29574.2314309531,483288.67902043,-2919.53607391546,,-354229.739285915,0,,-28235.8007273823,0,,,
Athilon 5,CDO0000647,POC_20090820,,-181463.556327256,-140474.643072748,22.5879587527689,-40988.9132545083,179522.673541879,-1557.04567101668,,-305851.819270263,0,,-12588.4516733475,0,,,
Athilon 6,CDO0000649,POC_20090820,,18564.1247425787,63886.6060244961,-244.140146171102,-45322.4812819174,389347.088425489,340.828357132105,,-294549.973806541,0,,-31251.3369515836,0,,,
Athilon 7,CDO0000651,POC_20090820,,-765324.154677138,-665771.959254354,13.0078470429019,-99552.1954227837,744674.154791606,-10604.7702364373,,-1328469.69071064,0,,-71371.6530988812,0,,,
Athilon 7 offset,CDO0000652,POC_20090820,,766599.090556901,666514.519226886,13.0556600657206,100084.571330015,-744922.030067894,10626.2452657435,,1329355.26675498,0,,71455.0372740552,0,,,
CDX6 7-10 7y ECD3450,CDO0000653,POC_20090820,,79780.0137886964,75727.4997447575,5.07961060858204,4052.51404393883,62006.5917301454,776.648915107066,,15077.2764230922,0,,-2133.01732358709,0,,,
CDX6 7-10 7y ECD3449,CDO0000654,POC_20090820,,-29568.7351094009,-28732.1055262376,2.82943987988642,-836.629583163369,-28115.5172505579,-650.729267592235,,-2316.69469597874,0,,2350.83568789135,0,,,
CDX6 7-10 7y ECD3453,CDO0000655,POC_20090820,,-79836.2301680418,-75795.7327592946,5.0609822135171,-4040.49740874716,-62066.7568576571,-776.44956175243,,-15090.7501442314,0,,2138.22380434629,0,,,
CDX6 7-10 7y ECD8112,CDO0000656,POC_20090820,,29565.6464542816,28727.8122954477,2.83380970590153,837.834158833964,28110.6786220765,650.827799528474,,2316.50248077743,0,,-2350.19660693477,0,,,
GNT LSS 1 - CDX7 30-60,CDO0000657,POC_20090820,,312534.713416905,39939.9150566708,84.0640419738039,272594.798360235,2152737.18648692,-57086.0683403562,,-1976248.34276758,0,,-79462.86032231,0,,,
GNT LSS 1 - GS,CDO0000658,POC_20090820,,-300443.468924706,-39372.5797925505,83.7503529203974,-261070.889132156,-2153709.70614138,57161.090478059,,1977199.12429284,0,,79976.9115779327,0,,,
Nereus 2 BNP,CDO0000659,POC_20090820,,634383.149696974,569377.386717017,10.247082226413,65005.7629799575,-374978.904227926,13334.0256353937,,893948.500253917,0,,37073.7650556322,0,,,
Nereus 2 Mav1,CDO0000660,POC_20090820,,-404184.555938825,-364949.865643509,9.70712258022414,-39234.6902953163,230618.946667848,-8266.39816953463,,-564392.105827218,0,,-22910.3083146047,0,,,
Nereus Dresdner,CDO0000661,POC_20090820,,113752.878187698,102012.735988291,10.3207429881776,11740.1421994071,-67177.6915921889,2389.6121871395,,160149.585966021,0,,6651.22942731925,0,,,
Nereus Mav1,CDO0000662,POC_20090820,,-369054.337716438,-333058.5875981,9.75350956205128,-35995.7501183378,210455.864460991,-7544.99719986157,,-515043.107962365,0,,-20926.3468968635,0,,,
CDX7 0-3 10y Zero ECD4272,CDO0000671,POC_20090820,,1364.91315806904,402.71146841342,70.4954512283302,962.201689655625,1591.85980558604,155.690555746061,,-313.093686446068,0,,-1031.74520647261,0,,,
CDX7 0-3 10y Zero ECD4273,CDO0000672,POC_20090820,,1819.88421239197,536.948626105618,70.4954511693974,1282.93558628636,2122.47974269102,207.587408915355,,-417.458248969401,0,,-1375.66027653136,0,,,
CDX7 0-3 10y Zero ECD4280,CDO0000673,POC_20090820,,734.953232552973,216.844636259514,70.4954510498211,518.108596293459,857.155272460259,83.8333767501071,,-168.588906616595,0,,-555.555106334257,0,,,
CDX7 0-3 10y Zero ECD8268,CDO0000674,POC_20090820,,-3919.75060301396,-1156.50473167919,70.495451144521,-2763.24587133478,-4571.49482073594,-447.111342313523,,899.140842032064,0,,2962.96058933821,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000726,POC_20090820,,-1860.2554445103,-1873.442525991,-0.708885519976158,13.1870814807016,-2921.67192567629,34.0283280200913,,0,0,,1014.2010716652,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000727,POC_20090820,,1860.2554445103,1873.442525991,-0.708885519976158,-13.1870814807016,2921.67192567629,-34.0283280200913,,0,0,,-1014.2010716652,0,,,
ACA 3,CDO0000639,POC_20090820,,113581.076527778,,,113581.076527778,,,,,,,,,,,
ACA 3 BA,CDO0000640,POC_20090820,,-137464.804722223,,,-137464.804722223,,,,,,,,,,,
