
******************** RISK RUN START (11/20/2010 8:56:34 PM - ) ********************

11/20/2010 8:56:34 PM - Script call: C:/Quantifi/9.4.1/bin/CreateCDSCurve.py 03-Dec-2009 Official -e
11/20/2010 8:56:45 PM - 	6625 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 7 Years
11/20/2010 8:56:45 PM - 	6671 [1] WARN  Quantifi.Curves.SurvivalFitCalibrator (null) - Forced survival curve ABK-AssurCorp.USD.SeniorUnsecured.Modified to fit by copying previous quote to tenor 10 Years
11/20/2010 8:56:46 PM - Script call: C:/Quantifi/9.4.1/bin/OptexImportIR.py C:/Quantifi/NightlyBatch/20091203/Next-Data\OptexCurves.20091203.CSV -e
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.1 Days.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.1 Weeks.Mid
11/20/2010 8:56:52 PM - 	Quote  EURLIBOR.1 Weeks.Mid  has already been treated.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.MAR10.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.MAR10.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.JUN10.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.SEP10.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.DEC10.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.MAR11.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.JUN11.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.SEP11.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.DEC11.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.DEC11.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.MAR12.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.MAR12.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.JUN12.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.JUN12.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.SEP12.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.SEP12.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.DEC12.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.DEC12.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.4 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.5 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.6 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.7 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.7 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.8 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.8 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.9 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.9 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.10 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.10 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.11 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.11 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.12 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.12 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.15 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.15 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.20 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.20 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.25 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.25 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.30 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.30 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.40 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.40 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.50 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.50 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.60 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.60 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  EURLIBOR.70 Years.Mid
11/20/2010 8:56:52 PM - 	quote  EURLIBOR.70 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  GBPLIBOR.1 Days.Mid
11/20/2010 8:56:52 PM - 	quote  GBPLIBOR.1 Days.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/20/2010 8:56:52 PM - 	quote  GBPLIBOR.1 Weeks.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  GBPLIBOR.1 Weeks.Mid
11/20/2010 8:56:52 PM - 	Quote  GBPLIBOR.1 Weeks.Mid  has already been treated.
11/20/2010 8:56:52 PM - 	Treating quote  GBPLIBOR.MAR10.Mid
11/20/2010 8:56:52 PM - 	quote  GBPLIBOR.MAR10.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  GBPLIBOR.JUN10.Mid
11/20/2010 8:56:52 PM - 	quote  GBPLIBOR.JUN10.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  GBPLIBOR.SEP10.Mid
11/20/2010 8:56:52 PM - 	quote  GBPLIBOR.SEP10.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  GBPLIBOR.DEC10.Mid
11/20/2010 8:56:52 PM - 	quote  GBPLIBOR.DEC10.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  GBPLIBOR.MAR11.Mid
11/20/2010 8:56:52 PM - 	quote  GBPLIBOR.MAR11.Mid  has been created/updated successfully.
11/20/2010 8:56:52 PM - 	Treating quote  GBPLIBOR.JUN11.Mid
11/20/2010 8:56:53 PM - 	quote  GBPLIBOR.JUN11.Mid  has been created/updated successfully.
11/20/2010 8:56:53 PM - 	Treating quote  GBPLIBOR.SEP11.Mid
11/20/2010 8:56:53 PM - 	quote  GBPLIBOR.SEP11.Mid  has been created/updated successfully.
11/20/2010 8:56:53 PM - 	Treating quote  GBPLIBOR.DEC11.Mid
11/20/2010 8:56:53 PM - 	quote  GBPLIBOR.DEC11.Mid  has been created/updated successfully.
11/20/2010 8:56:53 PM - 	Treating quote  GBPLIBOR.MAR12.Mid
11/20/2010 8:56:53 PM - 	quote  GBPLIBOR.MAR12.Mid  has been created/updated successfully.
11/20/2010 8:56:53 PM - 	Treating quote  GBPLIBOR.JUN12.Mid
11/20/2010 8:56:53 PM - 	quote  GBPLIBOR.JUN12.Mid  has been created/updated successfully.
11/20/2010 8:56:53 PM - 	Treating quote  GBPLIBOR.SEP12.Mid
11/20/2010 8:56:53 PM - 	quote  GBPLIBOR.SEP12.Mid  has been created/updated successfully.
11/20/2010 8:56:53 PM - 	Treating quote  GBPLIBOR.DEC12.Mid
11/20/2010 8:56:53 PM - 	quote  GBPLIBOR.DEC12.Mid  has been created/updated successfully.
11/20/2010 8:56:53 PM - 	Treating quote  GBPLIBOR.4 Years.Mid
11/20/2010 8:56:53 PM - 	quote  GBPLIBOR.4 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:53 PM - 	Treating quote  GBPLIBOR.5 Years.Mid
11/20/2010 8:56:53 PM - 	quote  GBPLIBOR.5 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:53 PM - 	Treating quote  GBPLIBOR.6 Years.Mid
11/20/2010 8:56:53 PM - 	quote  GBPLIBOR.6 Years.Mid  has been created/updated successfully.
11/20/2010 8:56:53 PM - 	Treating quote  GBPLIBOR.7 Years.Mid
