ProductDescription,TradeId,Strategy,SubStrategy,LTDPLChange,EstimatedPL,PercentResidualPL,ResidualPL,Total_CSDeltaEffect,Total_CSGammaEffect,Total_IREffect,CorrEffect,RecoveryEffect,DefaultEffect,ThetaEffect,CashflowEffect,NewBusinessEffect,TerminatedEffect,UnexplainedPL
Athilon 4,CDO0000646,POC_20090820,,218050.568990961,221904.653835079,-1.76751882003932,-3854.08484411804,361839.716081891,-13541.7527651667,,-95144.352142271,0,,-31248.9573393743,0,,,
Athilon 5,CDO0000647,POC_20090820,,46555.5428949622,46098.2099605455,0.982338312429486,457.332934416758,82919.8822245268,-5515.49659537087,,-17178.1970324565,0,,-14127.978636154,0,,,
Athilon 6,CDO0000649,POC_20090820,,430868.852901079,414001.703812029,3.91468284966099,16867.1490890495,454940.558943634,-21240.5028188373,,16544.9945211115,0,,-36243.3468338791,0,,,
Athilon 7,CDO0000651,POC_20090820,,1434850.86193167,1395504.30601416,2.74220526755885,39346.5559175038,1545031.42119771,-15852.4508678377,,-53973.410083546,0,,-79701.2542321682,0,,,
Athilon 7 offset,CDO0000652,POC_20090820,,-1434840.88109809,-1396092.04823058,2.70056654908359,-38748.8328675113,-1545799.78581369,15880.8600813579,,54034.8400685706,0,,79792.0374331772,0,,,
CDX6 7-10 7y ECD3450,CDO0000653,POC_20090820,,98701.0520511111,95893.5181583313,2.84448223644666,2807.53389277983,82816.7712994618,2188.47075155924,,13056.5536106713,0,,-2168.27750336099,0,,,
CDX6 7-10 7y ECD3449,CDO0000654,POC_20090820,,-44947.9239925731,-43800.0383011228,2.55381247783529,-1147.88569145025,-43820.9941962077,-244.439086088309,,-2306.47943766898,0,,2571.87441884214,0,,,
CDX6 7-10 7y ECD3453,CDO0000655,POC_20090820,,-98782.60588302,-95988.3570001015,2.82868512927008,-2794.24888291846,-82904.3207703723,-2189.09786308683,,-13068.7014608887,0,,2173.76309424639,0,,,
CDX6 7-10 7y ECD8112,CDO0000656,POC_20090820,,44942.4849668252,43793.2130359605,2.55720601945594,1149.27193086474,43813.5404137597,244.473723798708,,2306.38065005865,0,,-2571.18175165658,0,,,
GNT LSS 1 - CDX7 30-60,CDO0000657,POC_20090820,,-811500.41134324,-668309.389918499,16.7316694368359,-143191.021424741,1644847.12670895,-126577.505187648,,-2105151.9245639,0,,-81427.0868758967,0,,,
GNT LSS 1 - GS,CDO0000658,POC_20090820,,809250.617502549,669076.217366181,16.4247171680636,140174.400136368,-1645686.33708939,126661.382709688,,2106169.34810366,0,,81931.8236422204,0,,,
Nereus 2 BNP,CDO0000659,POC_20090820,,-108637.518293135,-95856.1389362492,11.7651613896388,-12781.3793568857,-414335.219136693,7254.65802682654,,270096.711469838,0,,41127.710703779,0,,,
Nereus 2 Mav1,CDO0000660,POC_20090820,,66990.4335235041,59151.2854276798,11.7018918724773,7839.14809582423,257499.221260321,-4622.31471103806,,-168334.500510401,0,,-25391.120611202,0,,,
Nereus Dresdner,CDO0000661,POC_20090820,,-19340.8514346341,-17166.3135906532,11.2432374103596,-2174.53784398086,-74232.0600279371,1299.9120933049,,48387.9291469733,0,,7377.90519700572,0,,,
Nereus Mav1,CDO0000662,POC_20090820,,60887.399494661,53966.8419088186,11.3661572727363,6920.55758584244,234993.326379493,-4218.60493501569,,-153616.795477117,0,,-23191.0840585409,0,,,
CDX7 0-3 10y Zero ECD4272,CDO0000671,POC_20090820,,2181.19381037191,1237.94863045867,43.2444460197883,943.245179913247,2487.90174752009,135.827756667977,,-348.389199370737,0,,-1037.39167435866,0,,,
CDX7 0-3 10y Zero ECD4273,CDO0000672,POC_20090820,,2908.25841643923,1650.59817601927,43.2444459993962,1257.66024041996,3317.202333001,181.103676315711,,-464.518932911194,0,,-1383.18890038625,0,,,
CDX7 0-3 10y Zero ECD4280,CDO0000673,POC_20090820,,1174.48896457654,666.587720288415,43.2444458489439,507.901244288121,1339.63939083366,73.1380241884496,,-187.594182641115,0,,-558.595512092579,0,,,
CDX7 0-3 10y Zero ECD8268,CDO0000674,POC_20090820,,-6263.94119138771,-3555.13452937142,43.2444459366992,-2708.80666201629,-7144.74347135371,-390.069459778172,,1000.50231492304,0,,2979.17608683743,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000726,POC_20090820,,-3100.46998415777,-3124.72388586874,-0.782265328640654,24.2539017109766,-4204.95475871296,12.7050448380591,,0,0,,1067.52582800615,0,,,
Dow Jones CDX.NA.IG.5-V5 (for CIBC) 5Y,CDX0000727,POC_20090820,,3100.46998415777,3124.72388586874,-0.782265328640654,-24.2539017109766,4204.95475871296,-12.7050448380591,,0,0,,-1067.52582800615,0,,,
ACA 3,CDO0000639,POC_20090820,,113581.076527778,,,113581.076527778,,,,,,,,,,,
ACA 3 BA,CDO0000640,POC_20090820,,-137464.804722223,,,-137464.804722223,,,,,,,,,,,
